loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
857,HD 28678 b,HD 28678,1,1,Radial Velocity,2011,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,380.2,1.18,13.5,1.21,490.09386,1.542,Msini,0.149,0,4972,,,6.48,1.53,-0.11,3.06,04h31m25.46s,67.8560643,+04d34m30.90s,4.5752495,189.908,8.38,5.775,8.05469
858,HD 29021 b,HD 29021,1,1,Radial Velocity,2017,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,64,64,17,0,1362.3,2.28,13.3,1.18,762.792,2.4,Msini,0.459,0,5560,45,-45,0.85,0.85,-0.24,4.44,04h37m52.35s,69.4681379,+60d40m34.67s,60.6762985,30.9939,7.76,6.082,7.58565
859,HD 290327 b,HD 290327,1,1,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,2443,3.43,13.3,1.18,772.3269,2.43,Msini,0.08,0,5505,63,-63,0.95,0.84,-0.14,4.41,05h23m21.60s,80.8399887,-02d16m40.94s,-2.2780391,56.433,8.99,7.271,8.80364
860,HD 29399 b,HD 29399,1,1,Radial Velocity,2022,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,263,53,53,0,892.7,1.913,13.5,1.21,498.9906,1.57,Msini,0.05,0,4845,52,-52,4.5,1.17,0.14,3.25,04h33m33.68s,68.3903471,-62d49m25.53s,-62.8237576,44.1518,5.79,3.777,5.50503
861,HD 2952 b,HD 2952,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,311.60001,1.23,13.6,1.21,435.4271,1.37,Msini,0.13,0,4844,20,-20,10.76,1.97,0,2.67,00h33m10.52s,8.2938367,+54d53m41.34s,54.8948177,110.103,5.9258,3.629,5.64532
862,HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,2527.83,3.704,12.6,1.12,2740.33026,8.622,Msini,0.162,0,5607,47,-47,1.02,1.05,0.39,4.42,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867,8.41,6.715,8.21511
863,HD 30177 c,HD 30177,1,2,Radial Velocity,2016,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,11613,9.89,12.6,1.13,2415.508,7.6,Msini,0.22,0,5580,12,-12,1.18,0.99,0.33,4.41,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867,8.41,6.715,8.21511
864,HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,1157,2.34,13.7,1.22,387.7526,1.22,Msini,0.76,0,5882,10,-10,1.61,1.12,0.2,4.07,04h48m36.71s,72.1529519,-05d40m30.41s,-5.6751152,26.1597,5.77466,4.31,5.61828
865,HD 30669 b,HD 30669,1,1,Radial Velocity,2014,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,1684,2.69,14.3,1.27,149.37,0.47,Msini,0.18,0,5400,74,-74,0.91,0.92,0.13,4.37,04h48m28.76s,72.1198522,-28d25m08.67s,-28.4190757,58.0844,9.12,7.329,8.90667
866,HD 30856 b,HD 30856,2,1,Radial Velocity,2011,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,847,1.85,13.5,1.21,491.68301,1.547,Msini,0.061,0,4895,,,4.4,1.17,-0.06,3.2,04h50m17.88s,72.5745099,-24d22m08.14s,-24.3689282,131.199,7.91,5.657,7.65813
867,HD 31253 b,HD 31253,1,1,Radial Velocity,2010,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,466,1.26,14.1,1.26,197.0546,0.62,Msini,0.3,0,6130,22,-22,1.75,1.7,0.17,4.18,04h54m43.75s,73.6822877,+12d21m07.24s,12.3520103,58.1438,7.13266,5.792,6.98479
868,HD 31527 b,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,16.5535,0.1254,3.22,0.288,10.47,0.0329,Msini,0.1,0,5898,13,-13,1.07,0.96,-0.17,4.45,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473,7.49,6.049,7.33222
869,HD 31527 c,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,51.2053,0.2663,3.85,0.343,14.16,0.0445,Msini,0.04,0,5898,13,-13,1.07,0.96,-0.17,4.45,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473,7.49,6.049,7.33222
870,HD 31527 d,HD 31527,1,3,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,271.6737,0.8098,3.46,0.309,11.82,0.0372,Msini,0.24,0,5898,13,-13,1.07,0.96,-0.17,4.45,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473,7.49,6.049,7.33222
871,HD 3167 b,HD 3167,1,3,Transit,2016,K2,0.95 m Kepler Telescope,Kepler CCD Array,537,3245,3245,0,0.959622,0.01815,1.6,0.143,5.02,0.01579,Mass,0,0,5438,63,-63,0.83,0.88,-0.1,4.6,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.2899,8.97,7.066,8.76221
872,HD 3167 c,HD 3167,1,3,Transit,2016,K2,0.95 m Kepler Telescope,Kepler CCD Array,537,3245,3245,0,29.875221,0.1795,2.3,0.205,9.8,0.03083,Mass,0.05,0,5438,63,-63,0.83,0.88,-0.1,4.6,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.2899,8.97,7.066,8.76221
873,HD 3167 d,HD 3167,1,3,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,8.509,0.07757,2.52,0.225,6.9,0.02171,Msini,0.36,0,5261,60,-60,0.86,0.86,0.04,4.47,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.2899,8.97,7.066,8.76221
874,HD 32518 b,HD 32518,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,157.54,0.59,13.1,1.17,966.16,3.04,Msini,0.01,0,4580,70,-70,10.22,1.13,-0.15,2.1,05h09m36.90s,77.4037569,+69d38m20.89s,69.6391355,122.115,6.43005,3.911,6.11933
875,HD 32963 b,HD 32963,1,1,Radial Velocity,2015,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,2372,3.41,14,1.25,222.481,0.7,Msini,0.07,0,5727,32,-32,1.11,0.94,0.11,4.41,05h07m55.68s,76.9820146,+26d19m39.65s,26.3276805,38.0786,7.6,6.024,7.42756
876,HD 330075 b,HD 330075,1,1,Radial Velocity,2004,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,3.38773,0.04,14.3,1.27,152.5584,0.48,Msini,0,0,5000,21,-21,0.84,0.47,0.05,4.26,15h49m37.32s,237.4054997,-49d57m50.11s,-49.9639199,45.2989,9.36,7.171,9.09159
877,HD 331093 b,HD 331093,1,1,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,621.62,1.44,13.6,1.21,476.74261,1.5,Msini,0.59,0,5544,33,-33,1.11,1.03,0.17,4.2,19h42m28.80s,295.6200054,+31d44m22.36s,31.7395451,50.1928,8.38,6.649,8.19105
878,HD 33142 b,HD 33142,1,2,Radial Velocity,2011,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,326,1.07,13.6,1.21,440.19455,1.385,Msini,0.066,0,4978,,,4.45,1.41,0.05,3.4,05h07m35.53s,76.8980559,-13d59m10.81s,-13.9863374,121.375,7.96,5.792,7.71274
879,HD 33142 c,HD 33142,1,2,Radial Velocity,2018,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,834,,12.8,1.14,1897.4451,5.97,Msini,0.05,0,5009,15,-15,4.14,1.62,0.03,3.5,05h07m35.53s,76.8980559,-13d59m10.81s,-13.9863374,121.375,7.96,5.792,7.71274
880,HD 332231 b,HD 332231,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,205,205,205,0,18.71204,0.1436,9.718,0.867,77.55052,0.244,Mass,0.032,0,6089,97,-96,1.28,1.13,0.036,4.28,20h26m57.87s,306.741134,+33d44m39.80s,33.7443882,80.6665,8.558,7.242,8.41839
881,HD 33283 b,HD 33283,2,1,Radial Velocity,2006,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,18.1991,0.1508,12.5,1.12,104.56607,0.329,Msini,0.399,0,5935,,,1.97,1.38,0.35,4.12,05h08m01.08s,77.0044889,-26d47m51.61s,-26.7976689,89.8623,8.05,6.646,7.89933
882,HD 33564 b,HD 33564,1,1,Radial Velocity,2005,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,64,64,17,0,388,1.1,12.5,1.12,2892.1,9.1,Msini,0.34,0,6250,,,1.44,1.25,-0.12,4,05h22m33.10s,80.6378979,+79d13m54.66s,79.2318488,20.9531,5.10111,3.911,4.97155
883,HD 33844 b,HD 33844,1,2,Radial Velocity,2015,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,551.40002,1.6,13.4,1.19,638.8383,2.01,Msini,0.15,0,4861,100,-100,5.39,1.84,0.27,3.24,05h12m36.14s,78.1505649,-14d57m03.52s,-14.9509775,105.779,7.29,4.945,7.01153
884,HD 33844 c,HD 33844,1,2,Radial Velocity,2015,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,916,2.24,13.5,1.2,556.2025,1.75,Msini,0.13,0,4861,100,-100,5.29,1.78,0.27,3.24,05h12m36.14s,78.1505649,-14d57m03.52s,-14.9509775,105.779,7.29,4.945,7.01153
885,HD 34445 b,HD 34445,1,6,Radial Velocity,2009,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,1049,2.07,13.9,1.24,260.6206,0.82,Msini,0.27,0,5879,16,-16,1.38,1.14,0.18,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
886,HD 34445 c,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,214.67,0.7181,8.42,0.752,53.5,0.168,Msini,0.036,0,5836,44,-44,1.38,1.07,0.14,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
887,HD 34445 d,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,117.87,0.4817,6.07,0.542,30.7,0.097,Msini,0.027,0,5836,44,-44,1.38,1.07,0.14,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
888,HD 34445 e,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,49.175,0.2687,4.26,0.38,16.8,0.0529,Msini,0.09,0,5836,44,-44,1.38,1.07,0.14,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
889,HD 34445 f,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,676.8,1.543,6.88,0.613,37.9,0.119,Msini,0.031,0,5836,44,-44,1.38,1.07,0.14,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
890,HD 34445 g,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,5700,6.36,13.6,1.21,120.6,0.38,Msini,0.032,0,5836,44,-44,1.38,1.07,0.14,4.21,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,7.31,5.79,7.14947
891,HD 35759 b,HD 35759,1,1,Radial Velocity,2016,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,82.467,0.389,13,1.16,1195.0408,3.76,Msini,0.389,0,6060,30,-30,1.76,1.15,0.04,4.24,05h31m33.28s,82.8886636,+64d19m06.15s,64.3183753,71.2423,7.74,6.319,7.59606
892,HD 360 b,HD 360,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,273.1,0.98,14,1.25,238.37131,0.75,Msini,0.139,0,4770,,,10.86,1.69,-0.06,2.59,00h08m17.50s,2.072903,-08d49m27.34s,-8.8242618,111.542,5.986,3.748,5.70895
893,HD 3651 b,HD 3651,1,1,Radial Velocity,2003,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,62.25,0.295,10.1,0.899,72.46524,0.228,Msini,0.645,0,5221,,,0.87,0.8,0.145,4.45,00h39m21.29s,9.8387218,+21d14m55.98s,21.2488844,11.1336,5.88437,3.999,5.65255
894,HD 37124 b,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,154.378,0.53364,14,1.25,214.53525,0.675,Msini,0.054,0,5698.64,48.74,-48.74,0.95,0.85,-0.44,4.39,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,7.68,5.952,7.47238
895,HD 37124 c,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,885.5,1.71,14.1,1.25,207.22516,0.652,Msini,0.125,0,5698.64,48.74,-48.74,0.95,0.85,-0.44,4.39,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,7.68,5.952,7.47238
896,HD 37124 d,HD 37124,1,3,Radial Velocity,2005,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,1862,2.807,14,1.25,221.20968,0.696,Msini,0.16,0,5698.64,48.74,-48.74,0.95,0.85,-0.44,4.39,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,7.68,5.952,7.47238
897,HD 37605 b,HD 37605,1,2,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,55.01292,0.277,13.2,1.18,854.9627,2.69,Msini,0.6745,0,5329,,,0.91,0.94,0.27,4.51,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,8.67,6.815,8.46192
898,HD 37605 c,HD 37605,1,2,Radial Velocity,2012,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,2720,3.74,13.1,1.17,1013.8777,3.19,Msini,0.03,0,5329,,,0.91,0.94,0.27,4.51,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,8.67,6.815,8.46192
899,HD 3765 b,HD 3765,1,1,Radial Velocity,2021,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,1211,2.108,8.56,0.764,54.98431,0.173,Msini,0.298,0,5049.8,64.88,-64.88,0.83,0.85,0.172,4.53,00h40m49.75s,10.2072994,+40d11m03.45s,40.1842918,17.926,7.36,5.164,7.07827
900,HD 38283 b,HD 38283,1,1,Radial Velocity,2010,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,363.20001,1.02,14,1.25,127.132,0.4,Msini,0.41,0,5981,12,-12,1.49,1.37,-0.18,4.23,05h37m02.53s,84.2605324,-73d41m59.33s,-73.6998131,38.0615,6.69,5.267,6.54392
901,HD 38529 b,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,14.30944,0.1294,13.9,1.24,253.31051,0.797,Msini,0.28,0,5541,,,2.56,1.41,0.51,3.77,05h46m34.83s,86.6451363,+01d10m03.31s,1.1675866,42.3538,5.92848,4.211,5.74796
902,HD 38529 c,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,2136.1,3.64,12.3,1.1,4128.6117,12.99,Msini,0.3407,0,5541,,,2.56,1.41,0.51,3.77,05h46m34.83s,86.6451363,+01d10m03.31s,1.1675866,42.3538,5.92848,4.211,5.74796
903,HD 38801 b,HD 38801,1,1,Radial Velocity,2009,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph,10,10,5,0,685.25,1.623,12.5,1.11,3082.31534,9.698,Msini,0.017,0,5338,59,-59,2.03,1.21,0.25,3.88,05h47m59.12s,86.9963141,-08d19m40.89s,-8.3280256,91.4349,8.26,6.279,8.03397
904,HD 39091 b,HD 39091,1,2,Radial Velocity,2001,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,2093.07,3.1,12.3,1.1,4099.98645,12.9,Mass,0.637,0,6037,45,-45,1.1,1.09,0.08,4.42,05h37m11.83s,84.2992798,-80d27m52.57s,-80.4646041,18.2702,5.65,4.241,5.5128
905,HD 39194 b,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,5.6368,0.056,1.83,0.163,4,0.01259,Msini,0.207,0,5205,23,-23,0.78,0.67,-0.61,4.53,05h44m30.98s,86.129071,-70d08m17.66s,-70.1382377,26.4131,8.09,6.094,7.85201
906,HD 39194 c,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,14.03,0.103,2.39,0.213,6.3,0.01982,Msini,0.154,0,5205,23,-23,0.78,0.67,-0.61,4.53,05h44m30.98s,86.129071,-70d08m17.66s,-70.1382377,26.4131,8.09,6.094,7.85201
907,HD 39194 d,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,33.91,0.185,1.83,0.163,4,0.01259,Msini,0.333,0,5205,23,-23,0.78,0.67,-0.61,4.53,05h44m30.98s,86.129071,-70d08m17.66s,-70.1382377,26.4131,8.09,6.094,7.85201
908,HD 39855 b,HD 39855,1,1,Radial Velocity,2019,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,29,26,16,0,3.2498,0.041,2.85,0.254,8.5,0.02674,Msini,0.14,0,5576,50,-46,0.74,0.87,,4.66,05h54m30.26s,88.6260731,-19d42m16.01s,-19.7044472,23.2599,7.51,5.756,7.32113
909,HD 40307 b,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,4.3123,0.0468,1.83,0.163,4,0.0126,Msini,0.2,0,4956,50,-50,0.72,0.77,-0.31,4.47,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,4.793,6.84367
910,HD 40307 c,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,9.6184,0.0799,2.46,0.219,6.6,0.0208,Msini,0.06,0,4956,50,-50,0.72,0.77,-0.31,4.47,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,4.793,6.84367
911,HD 40307 d,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,20.432,0.1321,3.04,0.272,9.5,0.0299,Msini,0.07,0,4956,50,-50,0.72,0.77,-0.31,4.47,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,4.793,6.84367
912,HD 40307 f,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,51.76,0.247,2.13,0.19,5.2,0.0164,Msini,0.02,0,4956,50,-50,0.72,0.77,-0.31,4.47,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,4.793,6.84367
913,HD 40307 g,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,1,197.8,0.6,2.56,0.229,7.1,0.0223,Msini,0.29,0,4956,50,-50,0.72,0.77,-0.31,4.47,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,4.793,6.84367
914,HD 40956 b,HD 40956,1,1,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,578.6,1.4,13.2,1.18,858.141,2.7,Msini,0.24,0,4869,28,-28,8.56,2,0.14,3.02,06h06m39.07s,91.6628015,+63d27m13.95s,63.453875,116.593,6.42794,4.143,6.14049
915,HD 40979 b,HD 40979,3,1,Radial Velocity,2002,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,264.14999,0.85,12.9,1.15,1484.2661,4.67,Msini,0.25,0,6165,25,-25,1.21,1.45,0.2,4.43,06h04m30.08s,91.1253346,+44d15m35.23s,44.2597855,34.0883,6.75512,5.452,6.59963
916,HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,263,53,53,0,963,,13.2,1.18,807.25,2.54,Msini,0.74,0,5310,65,-65,0.85,0.95,0.23,4.37,05h59m49.58s,89.9566041,-48d14m21.91s,-48.2394189,36.69117,8.65,6.428,
917,HD 41004 B b,HD 41004 B,2,2,Radial Velocity,2003,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,263,53,53,0,1.3283,,12.1,1.08,5838.29,18.37,Msini,0.081,0,5036,117.76,-129.07,1.04,0.4,,4.33,05h59m49.58s,89.9565956,-48d14m21.88s,-48.2394114,41.5504,8.6078,6.428,8.37625
918,HD 4113 b,HD 4113,3,1,Radial Velocity,2007,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,263,53,53,0,526.62,1.28,13.5,1.21,495.79,1.56,Msini,0.903,0,5688,26,-26,1.08,0.99,0.2,4.4,00h43m12.66s,10.8027515,-37d58m59.25s,-37.9831248,41.8727,7.88,6.289,7.71051
919,HD 42012 b,HD 42012,1,1,Radial Velocity,2017,Haute-Provence Observatory,1.93 m Telescope,Multiple Instruments,64,64,218,0,857.5,1.67,13.5,1.21,508.528,1.6,Msini,0.2,0,5405,45,-45,0.82,0.83,-0.09,4.45,06h09m56.51s,92.485473,+34d08m03.02s,34.1341722,36.7984,8.44,6.584,8.22949
920,HD 4203 b,HD 4203,1,2,Radial Velocity,2001,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,431.88,1.17,13.3,1.19,708.7609,2.23,Msini,0.52,0,5596,20,-20,1.42,1.25,0.4,4.23,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.3795,8.7,7.047,8.51545
921,HD 4203 c,HD 4203,1,2,Radial Velocity,2014,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,6700,6.95,13.3,1.19,689.66,2.17,Msini,0.24,0,5582,133.18,-87,1.5,0.99,0.34,4.08,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.3795,8.7,7.047,8.51545
922,HD 4208 b,HD 4208,1,1,Radial Velocity,2001,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,832.97,1.662,13.9,1.24,257.4423,0.81,Msini,0.042,0,5717,33,-33,0.85,0.88,-0.28,4.5,00h44m27.01s,11.1125532,-26d30m54.14s,-26.5150392,34.1937,7.783,6.163,7.61066
923,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,149.61,0.554,3.89,0.347,14.4,0.04531,Msini,0.19,0,5727,60,-60,1,1.01,-0.09,4.44,06h12m00.77s,93.0032173,+06d46m55.11s,6.7819742,24.3358,6.87,5.301,6.68303
924,HD 4308 b,HD 4308,1,1,Radial Velocity,2005,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,15.56,0.12,4.12,0.368,15.8915,0.05,Msini,0,0,5686,16,-16,1.02,0.93,-0.35,4.39,00h44m39.66s,11.1652594,-65d39m09.78s,-65.6527159,22.0158,6.55,4.945,6.37578
925,HD 4313 b,HD 4313,1,1,Radial Velocity,2009,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,356.21,1.157,13.4,1.2,612.45841,1.927,Msini,0.147,0,4943,,,5.14,1.63,0.14,3.24,00h45m40.35s,11.4181301,+07d50m42.18s,7.8450492,136.308,7.83,5.595,7.57399
926,HD 43197 b,HD 43197,1,1,Radial Velocity,2010,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,327.8,0.92,14.1,1.26,190.69,0.6,Msini,0.83,0,5508,46,-46,1,0.96,0.4,4.31,06h13m35.84s,93.3993231,-29d53m49.89s,-29.8971929,62.4112,8.98,7.203,8.77158
927,HD 43691 b,HD 43691,3,1,Radial Velocity,2007,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,64,64,17,0,36.9987,0.238,13.2,1.18,810.4665,2.55,Msini,0.0796,0,6093,,,1.6,1.32,0.33,4.28,06h19m34.71s,94.8946124,+41d05m31.48s,41.0920773,85.6009,8.03,6.7,7.8972
928,HD 44219 b,HD 44219,1,1,Radial Velocity,2010,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,472.3,1.19,14.1,1.26,184.33,0.58,Msini,0.61,0,5752,16,-16,1.32,1,0.03,4.21,06h20m14.40s,95.0599971,-10d43m30.29s,-10.7250799,52.9051,7.69,6.115,7.52973
929,HD 45184 b,HD 45184,1,2,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,5.8854,0.0644,3.52,0.314,12.19,0.0384,Msini,0.07,0,5869,14,-14,1.08,1.03,0.04,4.47,06h24m43.68s,96.1820205,-28d46m50.30s,-28.7806402,21.9532,6.383,4.871,6.21037
930,HD 45184 c,HD 45184,1,2,Radial Velocity,2019,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,13.1354,0.11,2.91,0.26,8.81,0.0277,Msini,0.07,0,5869,14,-14,1.08,1.03,0.04,4.47,06h24m43.68s,96.1820205,-28d46m50.30s,-28.7806402,21.9532,6.383,4.871,6.21037
931,HD 45350 b,HD 45350,1,1,Radial Velocity,2004,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,963.6,1.92,13.5,1.2,568.89,1.79,Msini,0.778,0,5566,158.59,-132.98,1.26,0.98,0.23,4.23,06h28m45.65s,97.1902262,+38d57m45.83s,38.9627315,46.8733,7.89,6.224,7.7
